past_score,attendance_pct,sleep_hours,subject_difficulty,study_hours_needed
78,56,6.1,1,3.8
91,71,8.8,5,4.1
68,77,8.8,4,4.1
54,51,8.3,4,6.4
82,91,5.5,4,5.0
47,94,5.9,3,4.7
60,55,8.3,5,6.6
78,77,5.6,4,5.6
97,77,4.8,3,4.6
58,93,6.8,2,5.0
62,93,8.7,2,3.9
50,69,7.5,3,5.5
50,79,6.9,3,5.4
63,60,4.5,5,8.1
92,77,7.1,5,4.6
75,74,9.0,2,2.6
79,88,4.7,4,6.7
63,82,6.6,2,4.4
42,50,8.4,4,6.7
61,76,7.7,4,4.5
92,62,7.5,5,5.6
41,90,7.5,1,4.0
63,52,5.8,1,5.2
83,88,5.5,3,4.9
69,55,8.0,5,5.8
77,57,8.1,4,5.2
41,76,8.3,1,5.3
99,58,8.6,4,2.6
60,86,6.6,1,3.6
72,82,6.5,1,3.1
51,91,8.0,1,3.6
97,93,7.2,5,4.1
61,73,7.5,2,4.0
83,64,8.0,4,4.4
64,81,8.5,5,5.2
88,81,5.7,5,5.3
66,73,5.9,5,6.9
98,90,4.5,5,5.7
81,98,6.9,5,5.4
67,98,4.2,3,5.8
99,61,6.3,4,4.3
55,88,6.7,5,6.5
54,51,5.4,4,8.8
86,52,7.0,3,5.2
90,98,4.2,3,4.1
83,86,4.2,4,6.4
94,98,8.1,1,1.1
91,66,5.8,2,3.6
96,98,4.6,1,3.3
42,51,6.6,1,5.3
76,51,7.8,1,2.8
90,77,5.1,5,6.2
46,72,7.1,3,6.1
60,86,4.4,1,4.9
48,81,4.3,3,6.7
78,82,6.7,4,4.8
57,50,6.7,2,5.5
43,68,7.2,4,6.6
64,51,7.6,4,6.0
99,93,8.9,5,3.1
53,75,6.6,2,4.8
89,81,5.6,4,4.6
97,55,8.0,4,3.0
48,81,5.4,2,6.2
65,53,6.2,2,5.7
92,60,4.4,4,5.8
41,66,4.1,2,7.2
59,87,8.8,4,5.1
67,73,8.2,4,4.8
86,54,7.5,5,5.4
99,83,6.0,1,2.6
46,55,4.9,4,8.2
83,71,4.8,3,6.2
47,60,5.3,1,6.7
86,97,6.7,1,2.8
74,65,7.6,1,3.1
53,82,7.3,5,6.3
56,58,5.4,4,6.8
75,55,8.8,5,5.8
89,65,7.7,4,3.1
79,78,6.8,5,5.4
43,52,7.1,5,7.9
41,69,6.1,3,6.1
45,85,5.2,5,8.1
93,68,5.8,2,3.2
81,75,7.8,3,4.1
43,52,4.1,5,10.0
93,68,4.6,1,2.9
68,69,4.2,2,5.6
57,81,4.2,2,5.6
65,56,8.3,2,4.2
83,90,7.5,3,3.9
73,82,6.4,5,6.5
49,89,4.5,5,8.1
75,88,6.5,1,2.8
53,67,6.4,1,6.2
70,89,4.9,2,3.8
87,50,6.2,1,3.4
54,60,6.0,3,6.6
47,77,7.1,5,7.1
53,74,7.2,2,5.3
62,99,4.2,1,5.2
99,72,5.9,3,3.9
96,80,7.1,3,3.4
79,79,6.5,1,3.0
60,91,8.3,5,5.8
55,84,7.3,1,3.9
84,56,4.8,2,4.8
57,65,4.4,1,5.9
86,75,7.2,3,4.5
92,97,4.1,1,1.9
63,98,6.9,5,5.9
65,51,8.7,4,5.6
64,50,6.9,1,5.2
99,97,5.9,5,4.3
